item,price,discount_price,weight,per_100g
Broccoli,4.49,,,
Pepper Bell Yell Swt,2.42,,0.220,1.10
Zucchini Squash,3.54,,0.460,0.77
Beans French Green,4.99,3.99,,
Bell Peppers 4Pk,6.99,,,
Strawberries 1lb,5.99,2.44,,
Tofu Smoked Original,3.99,,,
Potato Sweet Orange,2.47,2.14,0.755,0.28
Avocados,1.49,1.29,,
Havarti W/Grdn Veg,6.99,4.99,,
Oreo Double Stuf,5.99,3.99,,
Frzn Vegetables Mixd,3.00,,,
Milk Homo,7.49,,,
Bread WG 600G,3.99,,,
Ultimate Lemon Creme,3.99,2.79,,
Bread 12 Grain 600G,3.99,,,
Cooking Wine,2.99,,,
Sauce GS Parmesn Rom,2.99,,,
Rice Brown Natural,5.49,,,
Cheerios Cereal,6.99,5.47,,
Tipiak Couscous,10.99,,,
Apples Ambrosia 3lbs,5.99,,,
